,Index Name,Date,TotalReturnsIndex
0,Nifty 50,02 May 2014,8727.93
1,Nifty 50,05 May 2014,8733.92
2,Nifty 50,06 May 2014,8754.69
3,Nifty 50,07 May 2014,8672.88
4,Nifty 50,08 May 2014,8682.37
5,Nifty 50,09 May 2014,8941.77
6,Nifty 50,12 May 2014,9144.41
7,Nifty 50,13 May 2014,9267.61
8,Nifty 50,14 May 2014,9267.61
9,Nifty 50,15 May 2014,9286.39
10,Nifty 50,16 May 2014,9395.18
11,Nifty 50,19 May 2014,9474.16
12,Nifty 50,20 May 2014,9489.73
13,Nifty 50,21 May 2014,9460.28
14,Nifty 50,22 May 2014,9490.91
15,Nifty 50,23 May 2014,9609.25
16,Nifty 50,26 May 2014,9598.75
17,Nifty 50,27 May 2014,9545.20
18,Nifty 50,28 May 2014,9560.40
19,Nifty 50,29 May 2014,9445.23
20,Nifty 50,30 May 2014,9437.81
21,Nifty 50,02 Jun 2014,9610.85
22,Nifty 50,03 Jun 2014,9690.44
23,Nifty 50,04 Jun 2014,9672.68
24,Nifty 50,05 Jun 2014,9778.32
25,Nifty 50,06 Jun 2014,9924.43
26,Nifty 50,09 Jun 2014,10017.59
27,Nifty 50,10 Jun 2014,10019.94
28,Nifty 50,11 Jun 2014,9982.86
29,Nifty 50,12 Jun 2014,10015.59
30,Nifty 50,13 Jun 2014,9874.46
31,Nifty 50,16 Jun 2014,9864.29
32,Nifty 50,17 Jun 2014,9992.78
33,Nifty 50,18 Jun 2014,9896.55
34,Nifty 50,19 Jun 2014,9873.61
35,Nifty 50,20 Jun 2014,9835.35
36,Nifty 50,23 Jun 2014,9811.62
37,Nifty 50,24 Jun 2014,9925.34
38,Nifty 50,25 Jun 2014,9911.03
39,Nifty 50,26 Jun 2014,9811.48
40,Nifty 50,27 Jun 2014,9831.90
41,Nifty 50,30 Jun 2014,9966.14
42,Nifty 50,01 Jul 2014,9996.74
43,Nifty 50,02 Jul 2014,10115.19
44,Nifty 50,03 Jul 2014,10105.89
45,Nifty 50,04 Jul 2014,10161.42
46,Nifty 50,07 Jul 2014,10208.02
47,Nifty 50,08 Jul 2014,9993.08
48,Nifty 50,09 Jul 2014,9945.17
49,Nifty 50,10 Jul 2014,9922.60
50,Nifty 50,11 Jul 2014,9781.62
51,Nifty 50,14 Jul 2014,9776.46
52,Nifty 50,15 Jul 2014,9871.51
53,Nifty 50,16 Jul 2014,9999.71
54,Nifty 50,17 Jul 2014,10023.67
55,Nifty 50,18 Jul 2014,10054.40
56,Nifty 50,21 Jul 2014,10082.28
57,Nifty 50,22 Jul 2014,10191.98
58,Nifty 50,23 Jul 2014,10229.29
59,Nifty 50,24 Jul 2014,10275.33
60,Nifty 50,25 Jul 2014,10223.52
61,Nifty 50,28 Jul 2014,10175.95
62,Nifty 50,30 Jul 2014,10232.41
63,Nifty 50,31 Jul 2014,10140.34
64,Nifty 50,01 Aug 2014,9984.48
65,Nifty 50,04 Aug 2014,10090.88
66,Nifty 50,05 Aug 2014,10174.47
67,Nifty 50,06 Aug 2014,10076.95
68,Nifty 50,07 Aug 2014,10046.98
69,Nifty 50,08 Aug 2014,9942.03
70,Nifty 50,11 Aug 2014,10017.44
71,Nifty 50,12 Aug 2014,10150.24
72,Nifty 50,13 Aug 2014,10171.22
73,Nifty 50,14 Aug 2014,10239.76
74,Nifty 50,18 Aug 2014,10348.22
75,Nifty 50,19 Aug 2014,10379.05
76,Nifty 50,20 Aug 2014,10350.28
77,Nifty 50,21 Aug 2014,10372.44
78,Nifty 50,22 Aug 2014,10401.48
79,Nifty 50,25 Aug 2014,10392.41
80,Nifty 50,26 Aug 2014,10390.39
81,Nifty 50,27 Aug 2014,10432.78
82,Nifty 50,28 Aug 2014,10456.85
83,Nifty 50,01 Sep 2014,10553.26
84,Nifty 50,02 Sep 2014,10626.05
85,Nifty 50,03 Sep 2014,10667.50
86,Nifty 50,04 Sep 2014,10643.88
87,Nifty 50,05 Sep 2014,10633.24
88,Nifty 50,08 Sep 2014,10748.49
89,Nifty 50,09 Sep 2014,10720.95
90,Nifty 50,10 Sep 2014,10643.54
91,Nifty 50,11 Sep 2014,10632.96
92,Nifty 50,12 Sep 2014,10658.96
93,Nifty 50,15 Sep 2014,10575.50
94,Nifty 50,16 Sep 2014,10432.03
95,Nifty 50,17 Sep 2014,10488.05
96,Nifty 50,18 Sep 2014,10671.16
97,Nifty 50,19 Sep 2014,10679.98
98,Nifty 50,22 Sep 2014,10713.74
99,Nifty 50,23 Sep 2014,10544.42
100,Nifty 50,24 Sep 2014,10524.50
101,Nifty 50,25 Sep 2014,10405.39
102,Nifty 50,26 Sep 2014,10480.36
103,Nifty 50,29 Sep 2014,10467.25
104,Nifty 50,30 Sep 2014,10475.04
105,Nifty 50,01 Oct 2014,10449.70
106,Nifty 50,07 Oct 2014,10327.23
107,Nifty 50,08 Oct 2014,10314.44
108,Nifty 50,09 Oct 2014,10469.45
109,Nifty 50,10 Oct 2014,10337.14
110,Nifty 50,13 Oct 2014,10369.11
111,Nifty 50,14 Oct 2014,10342.43
112,Nifty 50,16 Oct 2014,10194.41
113,Nifty 50,17 Oct 2014,10235.83
114,Nifty 50,20 Oct 2014,10367.03
115,Nifty 50,21 Oct 2014,10431.10
116,Nifty 50,22 Oct 2014,10520.79
117,Nifty 50,23 Oct 2014,10545.31
118,Nifty 50,27 Oct 2014,10515.22
119,Nifty 50,28 Oct 2014,10562.48
120,Nifty 50,29 Oct 2014,10645.96
121,Nifty 50,30 Oct 2014,10749.57
122,Nifty 50,31 Oct 2014,10952.14
123,Nifty 50,03 Nov 2014,10955.32
124,Nifty 50,05 Nov 2014,10973.95
125,Nifty 50,07 Nov 2014,10972.24
126,Nifty 50,10 Nov 2014,10981.77
127,Nifty 50,11 Nov 2014,11006.04
128,Nifty 50,12 Nov 2014,11033.19
129,Nifty 50,13 Nov 2014,11000.37
130,Nifty 50,14 Nov 2014,11042.61
131,Nifty 50,17 Nov 2014,11096.32
132,Nifty 50,18 Nov 2014,11089.98
133,Nifty 50,19 Nov 2014,11032.59
134,Nifty 50,20 Nov 2014,11058.39
135,Nifty 50,21 Nov 2014,11157.68
136,Nifty 50,24 Nov 2014,11227.19
137,Nifty 50,25 Nov 2014,11138.95
138,Nifty 50,26 Nov 2014,11155.59
139,Nifty 50,27 Nov 2014,11179.89
140,Nifty 50,28 Nov 2014,11303.65
141,Nifty 50,01 Dec 2014,11261.08
142,Nifty 50,02 Dec 2014,11219.98
143,Nifty 50,03 Dec 2014,11237.05
144,Nifty 50,04 Dec 2014,11272.28
145,Nifty 50,05 Dec 2014,11237.89
146,Nifty 50,08 Dec 2014,11106.22
147,Nifty 50,09 Dec 2014,10977.83
148,Nifty 50,10 Dec 2014,10997.53
149,Nifty 50,11 Dec 2014,10914.91
150,Nifty 50,12 Dec 2014,10824.36
151,Nifty 50,15 Dec 2014,10818.45
152,Nifty 50,16 Dec 2014,10620.96
153,Nifty 50,17 Dec 2014,10571.25
154,Nifty 50,18 Dec 2014,10741.73
155,Nifty 50,19 Dec 2014,10828.45
156,Nifty 50,22 Dec 2014,10958.56
157,Nifty 50,23 Dec 2014,10883.52
158,Nifty 50,24 Dec 2014,10761.16
159,Nifty 50,26 Dec 2014,10796.22
160,Nifty 50,29 Dec 2014,10856.23
161,Nifty 50,30 Dec 2014,10858.82
162,Nifty 50,31 Dec 2014,10904.18
163,Nifty 50,01 Jan 2015,10905.87
164,Nifty 50,02 Jan 2015,11052.57
165,Nifty 50,05 Jan 2015,11030.18
166,Nifty 50,06 Jan 2015,10699.62
167,Nifty 50,07 Jan 2015,10666.38
168,Nifty 50,08 Jan 2015,10840.84
169,Nifty 50,09 Jan 2015,10906.56
170,Nifty 50,12 Jan 2015,10957.22
171,Nifty 50,13 Jan 2015,10926.16
172,Nifty 50,14 Jan 2015,10897.36
173,Nifty 50,15 Jan 2015,11182.52
174,Nifty 50,16 Jan 2015,11208.42
175,Nifty 50,19 Jan 2015,11257.01
176,Nifty 50,20 Jan 2015,11447.77
177,Nifty 50,21 Jan 2015,11492.40
178,Nifty 50,22 Jan 2015,11535.32
179,Nifty 50,23 Jan 2015,11633.06
180,Nifty 50,27 Jan 2015,11732.39
181,Nifty 50,28 Jan 2015,11737.42
182,Nifty 50,29 Jan 2015,11787.53
183,Nifty 50,30 Jan 2015,11598.64
184,Nifty 50,02 Feb 2015,11583.49
185,Nifty 50,03 Feb 2015,11529.72
186,Nifty 50,04 Feb 2015,11487.57
187,Nifty 50,05 Feb 2015,11471.77
188,Nifty 50,06 Feb 2015,11405.06
189,Nifty 50,09 Feb 2015,11227.70
190,Nifty 50,10 Feb 2015,11279.29
191,Nifty 50,11 Feb 2015,11360.75
192,Nifty 50,12 Feb 2015,11471.52
193,Nifty 50,13 Feb 2015,11595.25
194,Nifty 50,16 Feb 2015,11600.46
