,Index Name,Date,TotalReturnsIndex
0,NIFTY BANK,08 Sep 2023,61924.86
1,NIFTY BANK,07 Sep 2023,61543.56
2,NIFTY BANK,06 Sep 2023,60900.04
3,NIFTY BANK,05 Sep 2023,61068.84
4,NIFTY BANK,04 Sep 2023,61132.07
5,NIFTY BANK,01 Sep 2023,60937.11
6,NIFTY BANK,31 Aug 2023,60324.17
7,NIFTY BANK,30 Aug 2023,60658.04
8,NIFTY BANK,29 Aug 2023,61018.19
9,NIFTY BANK,28 Aug 2023,61017.41
10,NIFTY BANK,25 Aug 2023,60656.43
11,NIFTY BANK,24 Aug 2023,61019.50
12,NIFTY BANK,23 Aug 2023,60996.02
13,NIFTY BANK,22 Aug 2023,60329.82
14,NIFTY BANK,21 Aug 2023,60341.77
15,NIFTY BANK,18 Aug 2023,60134.79
16,NIFTY BANK,17 Aug 2023,60190.05
17,NIFTY BANK,16 Aug 2023,60265.56
18,NIFTY BANK,14 Aug 2023,60463.75
19,NIFTY BANK,11 Aug 2023,60612.06
20,NIFTY BANK,10 Aug 2023,61066.09
21,NIFTY BANK,09 Aug 2023,61530.74
22,NIFTY BANK,08 Aug 2023,61525.01
23,NIFTY BANK,07 Aug 2023,61351.25
24,NIFTY BANK,04 Aug 2023,61408.75
25,NIFTY BANK,03 Aug 2023,60903.19
26,NIFTY BANK,02 Aug 2023,61563.00
27,NIFTY BANK,01 Aug 2023,62379.52
28,NIFTY BANK,31 Jul 2023,62459.71
29,NIFTY BANK,28 Jul 2023,62209.35
30,NIFTY BANK,27 Jul 2023,62498.32
31,NIFTY BANK,26 Jul 2023,63022.41
32,NIFTY BANK,25 Jul 2023,62725.01
33,NIFTY BANK,24 Jul 2023,62831.79
34,NIFTY BANK,21 Jul 2023,63039.96
35,NIFTY BANK,20 Jul 2023,63192.77
36,NIFTY BANK,19 Jul 2023,62484.59
37,NIFTY BANK,18 Jul 2023,62130.98
38,NIFTY BANK,17 Jul 2023,62184.22
39,NIFTY BANK,14 Jul 2023,61321.65
40,NIFTY BANK,13 Jul 2023,61108.38
41,NIFTY BANK,12 Jul 2023,61073.39
42,NIFTY BANK,11 Jul 2023,61217.83
43,NIFTY BANK,10 Jul 2023,61376.32
44,NIFTY BANK,07 Jul 2023,61464.03
45,NIFTY BANK,06 Jul 2023,62025.32
46,NIFTY BANK,05 Jul 2023,61768.01
47,NIFTY BANK,04 Jul 2023,61972.72
48,NIFTY BANK,03 Jul 2023,61776.65
49,NIFTY BANK,30 Jun 2023,61214.73
50,NIFTY BANK,28 Jun 2023,60640.76
51,NIFTY BANK,27 Jun 2023,60358.58
52,NIFTY BANK,26 Jun 2023,59701.32
53,NIFTY BANK,23 Jun 2023,59676.45
54,NIFTY BANK,22 Jun 2023,59806.45
55,NIFTY BANK,21 Jun 2023,59990.18
56,NIFTY BANK,20 Jun 2023,59863.37
57,NIFTY BANK,19 Jun 2023,59681.83
58,NIFTY BANK,16 Jun 2023,60098.17
59,NIFTY BANK,15 Jun 2023,59421.74
60,NIFTY BANK,14 Jun 2023,60166.37
61,NIFTY BANK,13 Jun 2023,60292.00
