,Index Name,Date,TotalReturnsIndex
0,Nifty IT,02 May 2014,10483.14
1,Nifty IT,05 May 2014,10375.15
2,Nifty IT,06 May 2014,10325.79
3,Nifty IT,07 May 2014,10063.57
4,Nifty IT,08 May 2014,10082.73
5,Nifty IT,09 May 2014,10178.83
6,Nifty IT,12 May 2014,10273.14
7,Nifty IT,13 May 2014,10534.67
8,Nifty IT,14 May 2014,10517.59
9,Nifty IT,15 May 2014,10477.95
10,Nifty IT,16 May 2014,10249.57
11,Nifty IT,19 May 2014,9758.81
12,Nifty IT,20 May 2014,9988.07
13,Nifty IT,21 May 2014,10071.26
14,Nifty IT,22 May 2014,10045.07
15,Nifty IT,23 May 2014,10058.27
16,Nifty IT,26 May 2014,10192.92
17,Nifty IT,27 May 2014,10238.85
18,Nifty IT,28 May 2014,10391.18
19,Nifty IT,29 May 2014,10088.72
20,Nifty IT,30 May 2014,10137.20
21,Nifty IT,02 Jun 2014,10150.33
22,Nifty IT,03 Jun 2014,10144.09
23,Nifty IT,04 Jun 2014,10016.96
24,Nifty IT,05 Jun 2014,10153.36
25,Nifty IT,06 Jun 2014,10132.11
26,Nifty IT,09 Jun 2014,10214.32
27,Nifty IT,10 Jun 2014,10459.99
28,Nifty IT,11 Jun 2014,10688.59
29,Nifty IT,12 Jun 2014,10702.34
30,Nifty IT,13 Jun 2014,10703.24
31,Nifty IT,16 Jun 2014,10851.87
32,Nifty IT,17 Jun 2014,10897.38
33,Nifty IT,18 Jun 2014,10785.59
34,Nifty IT,19 Jun 2014,10986.71
35,Nifty IT,20 Jun 2014,10988.21
36,Nifty IT,23 Jun 2014,10816.03
37,Nifty IT,24 Jun 2014,10841.56
38,Nifty IT,25 Jun 2014,10860.98
39,Nifty IT,26 Jun 2014,10852.20
40,Nifty IT,27 Jun 2014,11124.72
41,Nifty IT,30 Jun 2014,11229.35
42,Nifty IT,01 Jul 2014,11105.34
43,Nifty IT,02 Jul 2014,11111.85
44,Nifty IT,03 Jul 2014,11138.76
45,Nifty IT,04 Jul 2014,11179.10
46,Nifty IT,07 Jul 2014,11472.88
47,Nifty IT,08 Jul 2014,11352.17
48,Nifty IT,09 Jul 2014,11220.99
49,Nifty IT,10 Jul 2014,11123.46
50,Nifty IT,11 Jul 2014,11256.45
51,Nifty IT,14 Jul 2014,11104.74
52,Nifty IT,15 Jul 2014,11089.16
53,Nifty IT,16 Jul 2014,11116.68
54,Nifty IT,17 Jul 2014,11129.44
55,Nifty IT,18 Jul 2014,11273.61
56,Nifty IT,21 Jul 2014,11241.93
57,Nifty IT,22 Jul 2014,11439.53
58,Nifty IT,23 Jul 2014,11689.25
59,Nifty IT,24 Jul 2014,11795.08
60,Nifty IT,25 Jul 2014,11733.36
61,Nifty IT,28 Jul 2014,11836.07
62,Nifty IT,30 Jul 2014,11810.56
63,Nifty IT,31 Jul 2014,11746.59
64,Nifty IT,01 Aug 2014,11576.31
65,Nifty IT,04 Aug 2014,11821.23
66,Nifty IT,05 Aug 2014,11888.55
67,Nifty IT,06 Aug 2014,11959.15
68,Nifty IT,07 Aug 2014,11797.58
69,Nifty IT,08 Aug 2014,11769.44
70,Nifty IT,11 Aug 2014,11842.76
71,Nifty IT,12 Aug 2014,11856.77
72,Nifty IT,13 Aug 2014,11954.34
73,Nifty IT,14 Aug 2014,11940.54
74,Nifty IT,18 Aug 2014,11884.00
